Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
2020;VR;NLB;3434;Albrecht, Br. MUS;7;29;20;14;12;11;2;2;1;21;5;6;0;0;8;2;1;0;0;1;0;5;0;4;9;Embrach Mustangs;07. Nov;0.6;0.724;1.05;1.774;1;3.63;4;0.1
2020;VR;NLB;3435;Albrecht, Ni. MUS;16;62;49;10;13;9;3;0;0;16;3;12;1;0;13;3;0;0;0;0;0;4;0;16;42;Embrach Mustangs;Aug 32;0.265;0.419;0.327;0.746;0.923;4.77;4.33;0.06
2020;VR;NLB;3445;Augsburger, Ar. BAR;9;29;27;8;8;8;2;0;0;10;2;2;1;0;1;6;1;0;0;0;0;4;0;0;15;Zürich Barracudas II;Jun 16;0.296;0.345;0.37;0.715;0.667;29;0.17;0.22
2020;VR;NLB;3497;Borando, Al. WP2;15;53;41;13;13;5;4;0;0;17;4;15;2;0;9;12;2;0;1;0;0;3;0;14;26;Wil Pirates II;Mär 22;0.317;0.453;0.415;0.867;0.882;5.89;0.75;0.29
2020;VR;NLB;3498;Borando, An. WP2;6;14;14;1;3;0;0;0;0;3;0;2;1;0;0;2;0;0;0;0;0;0;0;2;11;Wil Pirates II;0/6;0.214;0.214;0.214;0.429;0.667;-.--;0;0.14
2020;VR;NLB;3499;Borando, Fa. WP2;14;46;42;12;10;1;3;0;0;13;3;6;0;0;4;13;0;0;0;0;0;3;0;8;20;Wil Pirates II;01. Dez;0.238;0.304;0.31;0.614;1;11.5;0.31;0.31
2020;VR;NLB;3515;Brito, Ca. FRO;15;55;43;15;12;11;5;1;0;19;6;7;1;0;9;8;2;0;1;1;0;3;0;10;28;Sissach Frogs;Jun 23;0.279;0.418;0.442;0.86;0.875;6.11;1.13;0.19
2020;VR;NLB;3518;Brot, Ki. UNI;14;33;27;12;8;7;2;1;0;12;3;3;0;0;4;2;2;0;0;0;0;3;0;1;13;Hünenberg Unicorns;Mai 13;0.296;0.424;0.444;0.869;1;8.25;2;0.07
2020;VR;NLB;3531;Bundi, Li. BAR;15;60;45;30;26;26;9;1;1;40;11;11;1;0;13;1;1;0;1;3;0;11;0;7;13;Zürich Barracudas II;17/28;0.578;0.667;0.889;1.556;0.917;4.62;13;0.02
2020;VR;NLB;3534;Burger, Th. CHA;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;Zürich Challengers II;0/1;0;0.5;0;0.5;.---;2;-.--;0
2020;VR;NLB;3542;Byrnes, Ch. MUS;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Embrach Mustangs;0/0;.---;.---;.---;.---;.---;-.--;-.--;-.--
2020;VR;NLB;3543;Campbell, Ja. LIO;7;30;24;3;2;2;0;0;0;2;0;6;0;0;6;7;0;0;0;0;0;3;0;15;15;Zürich Lions;01. Okt;0.083;0.267;0.083;0.35;1;5;0.86;0.29
2020;VR;NLB;3547;Cartsunis, Pe. WP2;14;36;27;7;10;9;4;0;0;14;4;4;0;0;9;5;0;0;0;0;0;4;0;12;13;Wil Pirates II;Jun 16;0.37;0.528;0.519;1.046;1;4;1.8;0.19
2020;VR;NLB;3551;Castillo, Bi. UNI;16;69;62;26;24;25;6;1;1;35;8;11;1;0;3;8;4;0;0;0;1;6;0;8;26;Hünenberg Unicorns;13/33;0.387;0.449;0.565;1.014;0.917;23;0.38;0.13
2020;VR;NLB;3557;Christen, Ol. CHA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;.---;.---;.---;.---;.---;-.--;-.--;-.--
2020;VR;NLB;3569;Creiche, Se. IND;9;28;21;10;6;8;1;0;1;10;2;3;0;0;5;2;1;1;0;0;0;3;0;10;13;Lausanne Indians;Apr 14;0.286;0.444;0.476;0.921;1;5.6;2.5;0.1
2020;VR;NLB;3574;Cuevas, Gr. FRO;9;35;31;6;13;14;6;0;0;19;6;2;1;0;2;6;1;0;1;0;0;1;0;6;19;Sissach Frogs;Okt 19;0.419;0.457;0.613;1.07;0.667;17.5;0.33;0.19
2020;VR;NLB;3579;Del Rosario de La Rosa, Ju. EAG;10;39;30;12;14;14;2;0;0;16;2;2;0;0;7;2;1;0;1;0;1;3;0;3;12;Luzern Eagles II;Aug 15;0.467;0.564;0.533;1.097;1;5.57;3.5;0.07
2020;VR;NLB;3588;Diener, Ni. BAR;6;17;14;1;3;2;0;0;0;3;0;2;0;0;1;3;1;0;1;0;0;1;0;2;8;Zürich Barracudas II;01. Jul;0.214;0.294;0.214;0.508;1;17;0.33;0.21
2020;VR;NLB;3594;Dreiding, Ma. LIO;16;63;55;12;19;18;6;0;0;25;6;3;0;0;5;19;3;0;0;0;0;7;0;18;31;Zürich Lions;Nov 34;0.345;0.429;0.455;0.883;1;12.6;0.26;0.35
